plot_id,stand_id,clone,age2,SI,Dmean,DGM,Hmean,HGM,Hdom,N,G,V,f_veg_2m,f_havg,f_hstd,f_h10,f_h30,f_h50,f_h70,f_h90,f_h95,f_p10,f_p30,f_p50,f_p70,f_p90,f_p95,l_havg,l_hstd,l_h10,l_h30,l_h50,l_h70,l_h90,l_h95,l_p10,l_p30,l_p50,l_p70,l_p90,l_p95
51,13,3683,2.8,35.470,15.385,16.000,21.254,21.773,22.526,866.406,16.373,172.221,89.644,14.780,6.298,14.718,16.527,17.982,19.230,20.316,20.730,26.055,44.855,62.071,77.968,92.942,96.504,5.236,8.551,17.450,18.750,19.475,20.065,20.779,21.112,75.876,81.671,87.129,92.453,97.574,98.787
52,13,3683,2.8,34.849,15.091,15.900,21.145,21.716,22.132,809.901,14.644,153.586,82.055,13.076,7.148,14.801,16.150,17.185,18.528,19.762,20.124,32.706,49.542,65.268,79.932,93.536,96.816,5.019,8.240,16.701,18.204,18.892,19.554,20.170,20.491,76.139,81.872,87.310,92.504,97.599,98.824
53,14,3764,4.5,33.033,17.681,18.100,26.286,26.000,27.822,809.901,20.167,257.358,90.112,20.699,7.364,20.453,22.826,23.898,24.707,25.562,25.949,21.809,40.884,58.555,75.596,92.076,96.073,0.446,3.101,9.971,23.784,24.840,25.492,26.258,26.329,98.295,98.793,99.148,99.503,99.858,99.929
54,14,3764,4.5,33.130,17.551,18.500,26.290,26.879,27.903,772.231,18.978,242.825,91.813,20.277,6.940,20.190,22.221,23.207,24.084,25.127,25.498,21.611,40.625,58.451,75.572,92.121,96.127,0.662,3.833,21.165,24.279,24.898,25.673,26.338,26.535,97.635,98.204,98.730,99.255,99.781,99.912
55,14,3764,4.5,32.617,16.593,17.800,25.677,27.000,27.471,866.406,19.341,247.923,88.080,19.476,8.010,20.490,22.419,23.393,24.061,24.853,25.166,25.017,43.035,59.945,76.369,92.308,96.188,0.441,3.024,6.275,23.948,24.432,24.828,25.265,25.546,98.257,98.815,99.163,99.512,99.861,99.930
56,14,3764,4.5,32.463,16.740,17.500,25.882,26.385,27.341,847.571,18.901,241.930,91.860,18.653,6.694,18.438,20.773,21.810,22.473,23.429,23.881,22.825,41.580,59.058,75.978,92.259,96.169,1.175,4.995,22.389,22.734,23.341,23.869,24.240,24.410,95.516,96.557,97.598,98.559,99.520,99.840
57,15,13923,7.7,33.030,20.168,20.700,32.097,32.474,33.873,772.231,25.024,381.182,67.050,19.871,14.363,27.996,30.619,31.187,31.690,32.583,32.936,42.720,56.130,68.966,81.609,94.061,97.126,3.689,9.194,19.784,24.620,26.935,31.670,32.705,33.029,88.132,91.440,94.163,96.693,99.027,99.611
58,15,13923,7.7,33.406,21.400,22.100,32.745,33.233,34.258,678.057,24.648,376.506,73.956,22.333,13.908,28.563,31.125,31.974,32.454,33.099,33.293,36.978,51.889,65.805,79.722,93.439,96.819,4.278,10.509,23.694,30.699,32.304,32.696,33.360,33.370,87.602,90.854,93.699,96.138,98.780,99.390
59,15,13923,7.7,33.316,20.371,22.000,31.953,33.181,34.166,791.066,26.507,403.245,79.104,22.339,12.797,25.166,30.009,31.053,31.800,32.533,32.849,34.925,50.597,65.224,79.403,93.284,96.716,1.617,6.791,24.821,31.303,32.021,32.394,32.912,33.126,95.468,96.526,97.583,98.640,99.547,99.849
60,15,13923,7.7,32.958,19.230,20.800,31.288,32.531,33.799,753.396,22.516,341.126,69.470,19.377,13.955,26.272,29.665,30.600,31.285,31.957,32.195,42.820,56.404,69.211,81.759,94.049,97.025,2.879,8.411,21.440,27.444,30.992,31.607,32.144,32.282,91.248,93.565,95.495,97.426,99.228,99.614
61,16,3781,7.7,34.373,20.167,21.300,31.754,33.078,35.249,791.066,25.884,399.431,90.365,26.060,9.458,23.105,29.623,30.742,31.650,32.561,32.891,22.757,42.027,59.136,75.914,92.193,96.179,6.276,11.640,24.270,26.402,27.453,31.620,32.891,33.121,80.405,85.304,90.034,94.257,98.142,99.155
62,16,3781,7.7,33.715,19.852,20.900,31.384,32.689,34.575,828.736,26.084,394.715,95.875,27.837,7.128,23.259,29.734,30.879,31.676,32.664,32.984,17.837,38.239,56.522,74.359,91.639,95.875,6.157,11.169,21.627,25.909,26.764,27.721,31.525,32.758,79.705,84.807,89.456,93.878,98.186,99.093
63,16,3781,7.7,34.076,19.652,21.300,31.085,33.078,34.946,791.066,24.571,372.319,92.419,26.250,8.637,24.747,28.937,30.046,30.903,32.015,32.252,21.119,40.162,57.942,75.181,91.968,96.029,6.777,11.751,23.562,25.667,26.927,29.108,32.073,32.415,78.119,83.544,88.698,93.580,97.920,99.005
64,16,3781,7.7,33.729,19.661,21.300,31.220,33.078,34.590,772.231,23.997,364.988,91.390,26.122,8.745,25.034,28.980,29.944,30.686,31.575,31.825,21.299,40.181,57.855,75.076,91.843,96.073,6.654,11.410,21.767,24.822,26.261,27.782,31.779,32.086,77.845,83.460,88.619,93.627,98.027,99.090
65,17,3774,7.7,33.730,19.520,21.100,31.693,33.371,34.591,866.406,26.637,402.315,92.544,25.429,9.075,21.905,29.258,30.659,31.320,31.966,32.156,22.661,42.836,59.649,76.170,92.251,96.199,4.203,9.420,20.925,24.119,26.765,27.617,28.496,31.089,85.586,89.339,92.643,95.646,98.649,99.399
